ts,account,symbol,side,size_usd,size_tokens,collateral,entry_price,current_price,pnl,liquidation_price,leverage,is_liquidatable,opened_at
1768308632023934000,25,ETH-USD,Sell,494828196,158107751151466959,164447904,3129689672,3131810943,-674918,4107196082,3,false,1768308630
1768308632023934000,27,ETH-USD,Sell,895701672,286195043466215253,297671523,3129689672,3131810943,-1221688,4107196083,3,false,1768308630
1768308632023934000,23,ETH-USD,Sell,846218853,270384268542780855,281226733,3129689672,3131810943,-1154196,4107196084,3,false,1768308630
1768308632023934000,20,ETH-USD,Buy,330720618,105528081708272860,109975630,3133958399,3131810943,-453233,2193830474,3,false,1768308630
1768308632023934000,21,ETH-USD,Sell,764791428,244366537231437515,254165685,3129689672,3131810943,-1043133,4107196082,3,false,1768308630
1768308632023934000,24,ETH-USD,Buy,315061497,100531486665723286,104768450,3133958399,3131810943,-431773,2193634176,3,false,1768308630
1768308632023934000,22,ETH-USD,Buy,391478004,124914869362948426,130179486,3133958399,3131810943,-536498,2194592120,3,false,1768308630
1768308632023934000,30,ETH-USD,Buy,2159392672,689030420023772625,1077968822,3133958399,3131810943,-2959325,1694428007,2,false,1768308632
1768308632023934000,26,ETH-USD,Buy,786087831,250829057351504428,261400407,3133958399,3131810943,-1077288,2199538885,3,false,1768308630
1768308632023934000,31,ETH-USD,Sell,2384884002,762019321779575045,1190057117,3129689672,3131810943,-3252851,4626342991,2,false,1768308632
1768308634023934000,25,ETH-USD,Sell,494828196,158107751151466959,164447904,3129689672,3131790000,-674918,4074709792,3,false,1768308630
1768308634023934000,27,ETH-USD,Sell,895701672,286195043466215253,297671523,3129689672,3131790000,-1221688,4069691354,3,false,1768308630
1768308634023934000,23,ETH-USD,Sell,846218853,270384268542780855,281226733,3129689672,3131790000,-1154196,4070310819,3,false,1768308630
1768308634023934000,33,ETH-USD,Sell,1648898460,526861263790562925,822800332,3129663486,3131790000,-2262823,4581838873,2,false,1768308633
1768308634023934000,34,ETH-USD,Buy,1935459162,617576532801959506,965794122,3133958399,3131790000,-2678305,1636083937,2,false,1768308634
1768308634023934000,20,ETH-USD,Buy,330720618,105528081708272860,109975630,3133958399,3131790000,-457654,2154491929,3,false,1768308630
1768308634023934000,32,ETH-USD,Buy,2167213172,691525826472848467,1081872816,3133958399,3131790000,-2999008,1637789566,2,false,1768308633
1768308634023934000,21,ETH-USD,Sell,764791428,244366537231437515,254165685,3129689672,3131790000,-1043134,4071330188,3,false,1768308630
1768308634023934000,24,ETH-USD,Buy,315061497,100531486665723286,104768450,3133958399,3131790000,-435984,2154491932,3,false,1768308630
1768308634023934000,22,ETH-USD,Buy,391478004,124914869362948426,130179486,3133958399,3131790000,-541730,2154491930,3,false,1768308630
1768308634023934000,30,ETH-USD,Buy,2159392672,689030420023772625,1077968822,3133958399,3131790000,-2988186,1637708855,2,false,1768308632
1768308634023934000,26,ETH-USD,Buy,786087831,250829057351504428,261400407,3133958399,3131790000,-1087795,2154491932,3,false,1768308630
1768308634023934000,31,ETH-USD,Sell,2384884002,762019321779575045,1190057117,3129689672,3131790000,-3252852,4572663583,2,false,1768308632
1768308636023934000,27,ETH-USD,Sell,895701672,286195043466215253,297671523,3129689672,3131777472,-1311190,4107196039,3,false,1768308630
1768308636023934000,32,ETH-USD,Buy,2167213172,691525826472848467,1081872816,3133958399,3131777472,-3232597,1685762900,2,false,1768308633
1768308636023934000,24,ETH-USD,Buy,315061497,100531486665723286,104768450,3133958399,3131777472,-469943,2184871044,3,false,1768308630
1768308636023934000,33,ETH-USD,Sell,1648898460,526861263790562925,822800332,3129663486,3131777472,-2427589,4628196021,2,false,1768308633
1768308636023934000,30,ETH-USD,Buy,2159392672,689030420023772625,1077968822,3133958399,3131777472,-3220932,1685664868,2,false,1768308632
1768308636023934000,31,ETH-USD,Sell,2384884002,762019321779575045,1190057117,3129689672,3131777472,-3491160,4620973846,2,false,1768308632
1768308636023934000,37,ETH-USD,Sell,3643211306,1164106007576123580,1817962442,3129621599,3131777472,-5412548,4606632016,2,false,1768308635
1768308636023934000,25,ETH-USD,Sell,494828196,158107751151466959,164447904,3129689672,3131777472,-724364,4107196038,3,false,1768308630
1768308636023934000,23,ETH-USD,Sell,846218853,270384268542780855,281226733,3129689672,3131777472,-1238754,4107196040,3,false,1768308630
1768308636023934000,20,ETH-USD,Buy,330720618,105528081708272860,109975630,3133958399,3131777472,-493300,2185067342,3,false,1768308630
1768308636023934000,21,ETH-USD,Sell,764791428,244366537231437515,254165685,3129689672,3131777472,-1119555,4107196039,3,false,1768308630
1768308636023934000,34,ETH-USD,Buy,1935459162,617576532801959506,965794122,3133958399,3131777472,-2886915,1683484459,2,false,1768308634
1768308636023934000,22,ETH-USD,Buy,391478004,124914869362948426,130179486,3133958399,3131777472,-583925,2185828988,3,false,1768308630
1768308636023934000,36,ETH-USD,Buy,3759400714,1199569437169300013,1876692837,3133958400,3131777472,-5607492,1705722292,2,false,1768308635
1768308636023934000,26,ETH-USD,Buy,786087831,250829057351504428,261400407,3133958399,3131777472,-1172522,2190775753,3,false,1768308630
1768308636023934000,35,ETH-USD,Sell,2220439110,709491240091134341,1107999116,3129621599,3131777472,-3298802,4622607956,2,false,1768308634
1768308638023934000,27,ETH-USD,Sell,895701672,286195043466215253,297671523,3129689672,3131795000,-1221688,4107196083,3,false,1768308630
1768308638023934000,32,ETH-USD,Buy,2167213172,691525826472848467,1081872816,3133958399,3131795000,-2992093,1790271522,2,false,1768308633
1768308638023934000,24,ETH-USD,Buy,315061497,100531486665723286,104768450,3133958399,3131795000,-434979,2289379655,3,false,1768308630
1768308638023934000,33,ETH-USD,Sell,1648898460,526861263790562925,822800332,3129663486,3131795000,-2262823,4628772298,2,false,1768308633
1768308638023934000,30,ETH-USD,Buy,2159392672,689030420023772625,1077968822,3133958399,3131795000,-2981296,1790173486,2,false,1768308632
1768308638023934000,31,ETH-USD,Sell,2384884002,762019321779575045,1190057117,3129689672,3131795000,-3252852,4628811026,2,false,1768308632
1768308638023934000,37,ETH-USD,Sell,3643211306,1164106007576123580,1817962442,3129621599,3131795000,-5048494,4628710346,2,false,1768308635
1768308638023934000,25,ETH-USD,Sell,494828196,158107751151466959,164447904,3129689672,3131795000,-674918,4107196082,3,false,1768308630
1768308638023934000,23,ETH-USD,Sell,846218853,270384268542780855,281226733,3129689672,3131795000,-1154196,4107196084,3,false,1768308630
1768308638023934000,20,ETH-USD,Buy,330720618,105528081708272860,109975630,3133958399,3131795000,-456598,2289575953,3,false,1768308630
1768308638023934000,41,ETH-USD,Sell,4168395814,1332060645319313083,2080029512,3129283811,3131795000,-6226834,4628210758,2,false,1768308638
1768308638023934000,21,ETH-USD,Sell,764791428,244366537231437515,254165685,3129689672,3131795000,-1043134,4107196082,3,false,1768308630
1768308638023934000,34,ETH-USD,Buy,1935459162,617576532801959506,965794122,3133958399,3131795000,-2672129,1787993084,2,false,1768308634
1768308638023934000,22,ETH-USD,Buy,391478004,124914869362948426,130179486,3133958399,3131795000,-540481,2290337599,3,false,1768308630
1768308638023934000,36,ETH-USD,Buy,3759400714,1199569437169300013,1876692837,3133958400,3131795000,-5190297,1810230921,2,false,1768308635
1768308638023934000,26,ETH-USD,Buy,786087831,250829057351504428,261400407,3133958399,3131795000,-1085286,2295284364,3,false,1768308630
1768308638023934000,35,ETH-USD,Sell,2220439110,709491240091134341,1107999116,3129621599,3131795000,-3076921,4628710346,2,false,1768308634
1768308640023934000,40,ETH-USD,Buy,6047496144,1929667012810380635,3018910076,3133958400,3131805542,-8354624,1688351306,2,false,1768308638
1768308640023934000,27,ETH-USD,Sell,895701672,286195043466215253,297671523,3129689672,3131805542,-1228514,4075328478,3,false,1768308630
1768308640023934000,32,ETH-USD,Buy,2167213172,691525826472848467,1081872816,3133958399,3131805542,-2994007,1641603024,2,false,1768308633
1768308640023934000,24,ETH-USD,Buy,315061497,100531486665723286,104768450,3133958399,3131805542,-435257,2154491968,3,false,1768308630
1768308640023934000,33,ETH-USD,Sell,1648898460,526861263790562925,822800332,3129663486,3131805542,-2275389,4587475971,2,false,1768308633
1768308640023934000,30,ETH-USD,Buy,2159392672,689030420023772625,1077968822,3133958399,3131805542,-2983203,1641515683,2,false,1768308632
1768308640023934000,31,ETH-USD,Sell,2384884002,762019321779575045,1190057117,3129689672,3131805542,-3271028,4578300721,2,false,1768308632
1768308640023934000,37,ETH-USD,Sell,3643211306,1164106007576123580,1817962442,3129621599,3131805542,-5076261,4562448809,2,false,1768308635
1768308640023934000,25,ETH-USD,Sell,494828196,158107751151466959,164447904,3129689672,3131805542,-678690,4080346915,3,false,1768308630
1768308640023934000,23,ETH-USD,Sell,846218853,270384268542780855,281226733,3129689672,3131805542,-1160645,4075947942,3,false,1768308630
1768308640023934000,20,ETH-USD,Buy,330720618,105528081708272860,109975630,3133958399,3131805542,-456890,2154491965,3,false,1768308630
1768308640023934000,41,ETH-USD,Sell,4168395814,1332060645319313083,2080029512,3129283811,3131805542,-6258607,4555382581,2,false,1768308638
